2026-05-24T18:28:25+00:00 CRITICAL Uncaught TypeError: fclose(): Argument #1 ($stream) must be of type resource, false given in /home/sociedade/becodasartes.com.br/wp-content/plugins/google-news-sitemap/apgnsm.php:252 CONTEXT: {"error":{"type":1,"file":"/home/sociedade/becodasartes.com.br/wp-content/plugins/google-news-sitemap/apgnsm.php","line":252},"remote-logging":true,"backtrace":["","#0 /home/sociedade/becodasartes.com.br/wp-content/plugins/google-news-sitemap/apgnsm.php(252): fclose()","#1 /home/sociedade/becodasartes.com.br/wp-content/plugins/google-news-sitemap/apgnsm.php(123): apgnsm_generate_sitemap()","#2 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(343): apgnsm_autobuild()","#3 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#4 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(522): WP_Hook->do_action()","#5 /home/sociedade/becodasartes.com.br/wp-includes/post.php(3907): do_action()","#6 /home/sociedade/becodasartes.com.br/wp-includes/post.php(8158): wp_delete_post()","#7 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): wp_delete_auto_drafts()","#8 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#9 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(570): WP_Hook->do_action()","#10 /home/sociedade/becodasartes.com.br/wp-cron.php(191): do_action_ref_array()","#11 {main}","thrown"]}
2026-05-24T19:56:41+00:00 CRITICAL Uncaught Error: Call to a member function get_status() on false in /home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php:240 CONTEXT: {"error":{"type":1,"file":"/home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php","line":240},"remote-logging":true,"backtrace":["","#0 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_Banco_Inter_PIX_free->webhook_banco_inter_pix()","#1 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#2 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(522): WP_Hook->do_action()","#3 /home/sociedade/becodasartes.com.br/wp-content/plugins/woocommerce-legacy-rest-api/includes/class-wc-api.php(150): do_action()","#4 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_API->handle_api_requests()","#5 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#6 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(570): WP_Hook->do_action()","#7 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(418): do_action_ref_array()","#8 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(821): WP->parse_request()","#9 /home/sociedade/becodasartes.com.br/wp-includes/functions.php(1343): WP->main()","#10 /home/sociedade/becodasartes.com.br/wp-blog-header.php(16): wp()","#11 /home/sociedade/becodasartes.com.br/index.php(17): require('/home/sociedade...')","#12 {main}","thrown"]}
2026-05-24T19:57:41+00:00 CRITICAL Uncaught Error: Call to a member function get_status() on false in /home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php:240 CONTEXT: {"error":{"type":1,"file":"/home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php","line":240},"remote-logging":true,"backtrace":["","#0 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_Banco_Inter_PIX_free->webhook_banco_inter_pix()","#1 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#2 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(522): WP_Hook->do_action()","#3 /home/sociedade/becodasartes.com.br/wp-content/plugins/woocommerce-legacy-rest-api/includes/class-wc-api.php(150): do_action()","#4 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_API->handle_api_requests()","#5 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#6 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(570): WP_Hook->do_action()","#7 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(418): do_action_ref_array()","#8 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(821): WP->parse_request()","#9 /home/sociedade/becodasartes.com.br/wp-includes/functions.php(1343): WP->main()","#10 /home/sociedade/becodasartes.com.br/wp-blog-header.php(16): wp()","#11 /home/sociedade/becodasartes.com.br/index.php(17): require('/home/sociedade...')","#12 {main}","thrown"]}
2026-05-24T19:58:41+00:00 CRITICAL Uncaught Error: Call to a member function get_status() on false in /home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php:240 CONTEXT: {"error":{"type":1,"file":"/home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php","line":240},"remote-logging":true,"backtrace":["","#0 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_Banco_Inter_PIX_free->webhook_banco_inter_pix()","#1 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#2 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(522): WP_Hook->do_action()","#3 /home/sociedade/becodasartes.com.br/wp-content/plugins/woocommerce-legacy-rest-api/includes/class-wc-api.php(150): do_action()","#4 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_API->handle_api_requests()","#5 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#6 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(570): WP_Hook->do_action()","#7 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(418): do_action_ref_array()","#8 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(821): WP->parse_request()","#9 /home/sociedade/becodasartes.com.br/wp-includes/functions.php(1343): WP->main()","#10 /home/sociedade/becodasartes.com.br/wp-blog-header.php(16): wp()","#11 /home/sociedade/becodasartes.com.br/index.php(17): require('/home/sociedade...')","#12 {main}","thrown"]}
2026-05-24T19:59:42+00:00 CRITICAL Uncaught Error: Call to a member function get_status() on false in /home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php:240 CONTEXT: {"error":{"type":1,"file":"/home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php","line":240},"remote-logging":true,"backtrace":["","#0 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_Banco_Inter_PIX_free->webhook_banco_inter_pix()","#1 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#2 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(522): WP_Hook->do_action()","#3 /home/sociedade/becodasartes.com.br/wp-content/plugins/woocommerce-legacy-rest-api/includes/class-wc-api.php(150): do_action()","#4 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_API->handle_api_requests()","#5 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#6 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(570): WP_Hook->do_action()","#7 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(418): do_action_ref_array()","#8 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(821): WP->parse_request()","#9 /home/sociedade/becodasartes.com.br/wp-includes/functions.php(1343): WP->main()","#10 /home/sociedade/becodasartes.com.br/wp-blog-header.php(16): wp()","#11 /home/sociedade/becodasartes.com.br/index.php(17): require('/home/sociedade...')","#12 {main}","thrown"]}
2026-05-24T20:00:41+00:00 CRITICAL Uncaught Error: Call to a member function get_status() on false in /home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php:240 CONTEXT: {"error":{"type":1,"file":"/home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php","line":240},"remote-logging":true,"backtrace":["","#0 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_Banco_Inter_PIX_free->webhook_banco_inter_pix()","#1 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#2 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(522): WP_Hook->do_action()","#3 /home/sociedade/becodasartes.com.br/wp-content/plugins/woocommerce-legacy-rest-api/includes/class-wc-api.php(150): do_action()","#4 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_API->handle_api_requests()","#5 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#6 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(570): WP_Hook->do_action()","#7 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(418): do_action_ref_array()","#8 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(821): WP->parse_request()","#9 /home/sociedade/becodasartes.com.br/wp-includes/functions.php(1343): WP->main()","#10 /home/sociedade/becodasartes.com.br/wp-blog-header.php(16): wp()","#11 /home/sociedade/becodasartes.com.br/index.php(17): require('/home/sociedade...')","#12 {main}","thrown"]}
2026-05-24T20:01:41+00:00 CRITICAL Uncaught Error: Call to a member function get_status() on false in /home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php:240 CONTEXT: {"error":{"type":1,"file":"/home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php","line":240},"remote-logging":true,"backtrace":["","#0 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_Banco_Inter_PIX_free->webhook_banco_inter_pix()","#1 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#2 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(522): WP_Hook->do_action()","#3 /home/sociedade/becodasartes.com.br/wp-content/plugins/woocommerce-legacy-rest-api/includes/class-wc-api.php(150): do_action()","#4 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_API->handle_api_requests()","#5 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#6 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(570): WP_Hook->do_action()","#7 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(418): do_action_ref_array()","#8 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(821): WP->parse_request()","#9 /home/sociedade/becodasartes.com.br/wp-includes/functions.php(1343): WP->main()","#10 /home/sociedade/becodasartes.com.br/wp-blog-header.php(16): wp()","#11 /home/sociedade/becodasartes.com.br/index.php(17): require('/home/sociedade...')","#12 {main}","thrown"]}
2026-05-24T20:02:41+00:00 CRITICAL Uncaught Error: Call to a member function get_status() on false in /home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php:240 CONTEXT: {"error":{"type":1,"file":"/home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php","line":240},"remote-logging":true,"backtrace":["","#0 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_Banco_Inter_PIX_free->webhook_banco_inter_pix()","#1 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#2 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(522): WP_Hook->do_action()","#3 /home/sociedade/becodasartes.com.br/wp-content/plugins/woocommerce-legacy-rest-api/includes/class-wc-api.php(150): do_action()","#4 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_API->handle_api_requests()","#5 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#6 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(570): WP_Hook->do_action()","#7 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(418): do_action_ref_array()","#8 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(821): WP->parse_request()","#9 /home/sociedade/becodasartes.com.br/wp-includes/functions.php(1343): WP->main()","#10 /home/sociedade/becodasartes.com.br/wp-blog-header.php(16): wp()","#11 /home/sociedade/becodasartes.com.br/index.php(17): require('/home/sociedade...')","#12 {main}","thrown"]}
2026-05-24T20:03:41+00:00 CRITICAL Uncaught Error: Call to a member function get_status() on false in /home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php:240 CONTEXT: {"error":{"type":1,"file":"/home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php","line":240},"remote-logging":true,"backtrace":["","#0 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_Banco_Inter_PIX_free->webhook_banco_inter_pix()","#1 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#2 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(522): WP_Hook->do_action()","#3 /home/sociedade/becodasartes.com.br/wp-content/plugins/woocommerce-legacy-rest-api/includes/class-wc-api.php(150): do_action()","#4 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_API->handle_api_requests()","#5 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#6 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(570): WP_Hook->do_action()","#7 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(418): do_action_ref_array()","#8 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(821): WP->parse_request()","#9 /home/sociedade/becodasartes.com.br/wp-includes/functions.php(1343): WP->main()","#10 /home/sociedade/becodasartes.com.br/wp-blog-header.php(16): wp()","#11 /home/sociedade/becodasartes.com.br/index.php(17): require('/home/sociedade...')","#12 {main}","thrown"]}
2026-05-24T20:04:41+00:00 CRITICAL Uncaught Error: Call to a member function get_status() on false in /home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php:240 CONTEXT: {"error":{"type":1,"file":"/home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php","line":240},"remote-logging":true,"backtrace":["","#0 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_Banco_Inter_PIX_free->webhook_banco_inter_pix()","#1 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#2 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(522): WP_Hook->do_action()","#3 /home/sociedade/becodasartes.com.br/wp-content/plugins/woocommerce-legacy-rest-api/includes/class-wc-api.php(150): do_action()","#4 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_API->handle_api_requests()","#5 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#6 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(570): WP_Hook->do_action()","#7 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(418): do_action_ref_array()","#8 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(821): WP->parse_request()","#9 /home/sociedade/becodasartes.com.br/wp-includes/functions.php(1343): WP->main()","#10 /home/sociedade/becodasartes.com.br/wp-blog-header.php(16): wp()","#11 /home/sociedade/becodasartes.com.br/index.php(17): require('/home/sociedade...')","#12 {main}","thrown"]}
2026-05-24T20:05:41+00:00 CRITICAL Uncaught Error: Call to a member function get_status() on false in /home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php:240 CONTEXT: {"error":{"type":1,"file":"/home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php","line":240},"remote-logging":true,"backtrace":["","#0 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_Banco_Inter_PIX_free->webhook_banco_inter_pix()","#1 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#2 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(522): WP_Hook->do_action()","#3 /home/sociedade/becodasartes.com.br/wp-content/plugins/woocommerce-legacy-rest-api/includes/class-wc-api.php(150): do_action()","#4 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_API->handle_api_requests()","#5 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#6 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(570): WP_Hook->do_action()","#7 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(418): do_action_ref_array()","#8 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(821): WP->parse_request()","#9 /home/sociedade/becodasartes.com.br/wp-includes/functions.php(1343): WP->main()","#10 /home/sociedade/becodasartes.com.br/wp-blog-header.php(16): wp()","#11 /home/sociedade/becodasartes.com.br/index.php(17): require('/home/sociedade...')","#12 {main}","thrown"]}
2026-05-24T20:06:00+00:00 CRITICAL Uncaught Error: Call to a member function get_status() on false in /home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php:240 CONTEXT: {"error":{"type":1,"file":"/home/sociedade/becodasartes.com.br/wp-content/plugins/wc-banco-inter/includes/pix/gatewayPix.php","line":240},"remote-logging":true,"backtrace":["","#0 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_Banco_Inter_PIX_free->webhook_banco_inter_pix()","#1 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#2 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(522): WP_Hook->do_action()","#3 /home/sociedade/becodasartes.com.br/wp-content/plugins/woocommerce-legacy-rest-api/includes/class-wc-api.php(150): do_action()","#4 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(341): WC_API->handle_api_requests()","#5 /home/sociedade/becodasartes.com.br/wp-includes/class-wp-hook.php(365): WP_Hook->apply_filters()","#6 /home/sociedade/becodasartes.com.br/wp-includes/plugin.php(570): WP_Hook->do_action()","#7 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(418): do_action_ref_array()","#8 /home/sociedade/becodasartes.com.br/wp-includes/class-wp.php(821): WP->parse_request()","#9 /home/sociedade/becodasartes.com.br/wp-includes/functions.php(1343): WP->main()","#10 /home/sociedade/becodasartes.com.br/wp-blog-header.php(16): wp()","#11 /home/sociedade/becodasartes.com.br/index.php(17): require('/home/sociedade...')","#12 {main}","thrown"]}
